ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,"Co w piosence przedszkolaków, jedzie z daleka, ani chwili nie czeka?",Kombajn,Tramwaj,Pociąg,Motoriksza,3
2,Mokasyny zakładamy na?,Uszy,Oczy,Stopy,Dłonie,3
3,Rokiem przestępnym nie jest?,1992,1996,2000,2002,4
4,Kto pierwszy zaczął kolonizację Sumatry?,Hiszpania,Holandia,Wielka Brytania,Portugalia,4
5,"Kto jest mistrzem tego samego oręża, w jakim specjalizowała się mitologiczna Artemida?",Zorro,Legolas,Don Kichot,Longinus Podbipięta,2
6,"Likier maraskino produkuje się z maraski, czyli odmiany:",Wiśni,Jabłoni,Figi,Gruszy,1
7,Który ssak się nie spoci?,Owca,Koń,Człowiek,Królik,4
8,Które z warzyw występuje w odmianach naciowej i korzeniowej?,Kapusta,Szczaw,Seler,Szpinak,3
9,Jak w krajach germańskich mówi się na świętego Mikołaja?,Dziadek Zima,Dziadek Mróz,Wujek Szron,Brat Sopel,1
10,Jak nazywa się mitologiczny wąż pożerający własny ogon?,Uroboros,Tytanus,Chaos,Zeus,1
