ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,W jakim mieście znajduje się Ściana Płaczu ? ,w Rzymie ,w Pekinie ,w Bombaju ,w Jerozolimie,4
2,Jakie lotnictwo zaatakowało Pearl Harbor 7 grudnia 1941 roku ? ,radzieckie ,włoskie ,japońskie,niemieckie ,3
3,W jakim kraju wynaleziono klocki Lego ? ,w USA ,w Danii,w Niemczech ,na Węgrzech ,2
4,W jakim budynku gospodarczym Augiasz miał największy bałagan ? ,w kurniku ,w chlewni ,w stodole ,w stajni,4
5,Bohaterem jakiej sztuki Bertolta Brechta jest Mackie Majcher ? ,„Matka Courage” ,„Kariera Artura Uli” ,„Życie Galileusza” ,„Opera za 3 grosze”,4
6,Jakiego zawodu uczy się bohaterka grana przez Jodie Foster w filmie pt. „Milczenie owiec” ? ,agentki FBI,modelki ,barmanki ,adwokata ,1
7,Latimeria to: ,ryba trzonopłetwa,taniec ,hiszpańska potrawa ,kobiece imię ,1
8,W dramacie Wyspiańskiego na wesele Chochoła zaprasza: ,Dziennikarz ,Czepiec ,Gospodarz ,Rachela,4
9,Organizacja światowa zrzeszająca narodowe związki piłkarskie to: ,NBA ,WBO ,WBC ,FIFA,4
10,Cichociemni działali w okresie: ,powstania styczniowego ,potopu szwedzkiego ,II wojny światowej,zimnej wojny ,3
